orden_id,fecha_orden,categoria,canal_venta,ciudad_destino,metodo_pago,operador_logistica,operador_atencion,estado_orden,precio_venta_cop,costo_producto_cop,costo_envio_cop,margen_bruto_cop,ganancia_neta_cop,tiempo_respuesta_horas,dias_entrega,cliente_recurrente,devolucion,notas
MC-2023-0001,2023-04-25,Ropa mujer,Web propia,Medellín,Bancolombia,InterRapidísimo,Valentina M.,En tránsito,67000,31362,0,35638,0,1,2,Sí,No,Cliente no encontrado en dirección
MC-2023-0002,2023-10-12,Ropa mujer,WhatsApp,Pereira,Contraentrega,TCC,Andrea P.,Entregado,100000,54144,8900,36956,36956,2,2,No,No,Queja por demora en envío
MC-2023-0003,2023-03-22,Ropa niños,Web propia,Manizales,Contraentrega,Domicilios propios,Camilo R.,En tránsito,33000,11852,6900,14248,0,2,,No,No,
MC-2023-0004,2023-10-01,Ropa mujer,TikTok Shop,Pereira,Daviplata,InterRapidísimo,Camilo R.,Entregado,163000,69420,0,93580,93580,7,2,Sí,No,Cliente no encontrado en dirección
MC-2023-0005,2023-11-19,Ropa hombre,Marketplace (Falabella),Barranquilla,Bancolombia,TCC,Andrea P.,Entregado,71000,35428,0,35572,35572,3,3,No,No,
MC-2023-0006,2023-02-18,Ropa mujer,WhatsApp,Pereira,Tarjeta crédito,InterRapidísimo,Valentina M.,Devuelto,142000,66623,10900,64477,0,3,4,No,Sí,"Cliente satisfecho, dejó reseña positiva"
MC-2023-0007,2023-01-04,Accesorios,TikTok Shop,Manizales,Daviplata,InterRapidísimo,Valentina M.,En tránsito,39000,20215,0,18785,0,2,2,Sí,No,Solicitud de cambio de color
MC-2023-0008,2023-11-11,Ropa hombre,Instagram,Medellín,Nequi,Domicilios propios,Valentina M.,En tránsito,102000,52346,0,49654,0,2,1,No,No,Producto llegó con defecto
MC-2023-0009,2023-07-25,Accesorios,Marketplace (Falabella),Pereira,Tarjeta crédito,Coordinadora,Sin operador,Entregado,35000,13822,8900,12278,12278,26,1,Sí,No,
MC-2023-0010,2023-12-05,Ropa mujer,TikTok Shop,Medellín,Tarjeta crédito,Coordinadora,Camilo R.,Cancelado,78000,38584,0,39416,0,3,,No,No,"Cliente satisfecho, dejó reseña positiva"
MC-2023-0011,2023-02-25,Ropa mujer,Instagram,Barranquilla,Nequi,Coordinadora,Camilo R.,Entregado,93000,42524,6900,43576,43576,3,4,Sí,No,Producto llegó con defecto
MC-2023-0012,2023-01-16,Ropa mujer,WhatsApp,Medellín,Tarjeta crédito,TCC,Sin operador,Entregado,147000,77981,6900,62119,62119,28,6,Sí,No,Cliente preguntó por talla antes de comprar
MC-2023-0013,2023-08-11,Ropa mujer,TikTok Shop,Pereira,Nequi,Domicilios propios,Andrea P.,Entregado,57000,26609,0,30391,30391,3,1,Sí,No,Cliente no encontrado en dirección
MC-2023-0014,2023-09-10,Ropa niños,TikTok Shop,Bogotá,Nequi,Domicilios propios,Sin operador,En tránsito,65000,34901,6900,23199,0,37,,Sí,No,Cliente no encontrado en dirección
MC-2023-0015,2023-04-13,Ropa mujer,TikTok Shop,Medellín,Contraentrega,Domicilios propios,Camilo R.,Entregado,62000,32602,8900,20498,20498,3,1,No,No,
MC-2023-0016,2023-05-18,Accesorios,Instagram,Bogotá,Bancolombia,Domicilios propios,Andrea P.,Entregado,58000,22743,8900,26357,26357,3,,No,No,Cliente preguntó por talla antes de comprar
MC-2023-0017,2023-02-15,Ropa mujer,Web propia,Manizales,Contraentrega,InterRapidísimo,Camilo R.,En tránsito,158000,72733,10900,74367,0,2,2,No,No,
MC-2023-0018,2023-11-12,Accesorios,Instagram,Cali,Bancolombia,InterRapidísimo,Valentina M.,Entregado,69000,31876,10900,26224,26224,2,2,No,No,
MC-2023-0019,2023-10-01,Ropa hombre,Instagram,Barranquilla,Tarjeta crédito,Servientrega,Camilo R.,Entregado,144000,76851,8900,58249,58249,8,1,No,No,Cliente preguntó por talla antes de comprar
MC-2023-0020,2023-12-26,Ropa niños,Marketplace (Falabella),Pereira,Contraentrega,Domicilios propios,Valentina M.,Entregado,58000,22371,8900,26729,26729,1,,No,No,Cliente no encontrado en dirección
MC-2023-0021,2023-07-14,Accesorios,Instagram,Pereira,Nequi,TCC,Camilo R.,Entregado,47000,17107,8900,20993,20993,7,4,No,No,Producto llegó con defecto
MC-2023-0022,2023-05-11,Ropa hombre,Marketplace (Falabella),Pereira,Bancolombia,TCC,Andrea P.,Devuelto,110000,56841,8900,44259,0,2,3,No,Sí,
MC-2023-0023,2023-03-28,Accesorios,TikTok Shop,Pereira,Contraentrega,Domicilios propios,Valentina M.,Entregado,63000,25961,6900,30139,30139,2,,No,No,Queja por demora en envío
MC-2024-0024,2024-05-21,Calzado,WhatsApp,Medellín,Nequi,Servientrega,Sin operador,Entregado,125000,63852,0,61148,61148,27,1,No,No,"Cliente satisfecho, dejó reseña positiva"
MC-2024-0025,2024-05-31,Calzado,TikTok Shop,Barranquilla,Tarjeta crédito,InterRapidísimo,Sin operador,Entregado,143000,74070,8900,60030,60030,29,2,No,No,Producto llegó con defecto
MC-2023-0026,2023-03-24,Ropa hombre,WhatsApp,Medellín,Bancolombia,TCC,Camilo R.,Entregado,93000,40131,0,52869,52869,5,6,No,No,Solicitud de cambio de color
MC-2023-0027,2023-11-02,Calzado,Marketplace (Falabella),Bucaramanga,Daviplata,Domicilios propios,Camilo R.,Devuelto,136000,55023,10900,70077,0,5,,No,Sí,Cliente no encontrado en dirección
MC-2023-0028,2023-01-28,Ropa mujer,Marketplace (Falabella),Medellín,Bancolombia,TCC,Valentina M.,Entregado,142000,58996,10900,72104,72104,3,5,No,No,
